"Position (bp)","SRR7821918_1","SRR7821918_1_cleaned","SRR7821918_2","SRR7821918_2_cleaned","SRR7821919_1","SRR7821919_1_cleaned","SRR7821919_2","SRR7821919_2_cleaned","SRR7821920_1","SRR7821920_1_cleaned","SRR7821920_2","SRR7821920_2_cleaned","SRR7821921_1","SRR7821921_1_cleaned","SRR7821921_2","SRR7821921_2_cleaned","SRR7821922_1","SRR7821922_1_cleaned","SRR7821922_2","SRR7821922_2_cleaned","SRR7821937_1","SRR7821937_1_cleaned","SRR7821937_2","SRR7821937_2_cleaned","SRR7821938_1","SRR7821938_1_cleaned","SRR7821938_2","SRR7821938_2_cleaned","SRR7821939_1","SRR7821939_1_cleaned","SRR7821939_2","SRR7821939_2_cleaned","SRR7821949_1","SRR7821949_1_cleaned","SRR7821949_2","SRR7821949_2_cleaned","SRR7821950_1","SRR7821950_1_cleaned","SRR7821950_2","SRR7821950_2_cleaned","SRR7821951_1","SRR7821951_1_cleaned","SRR7821951_2","SRR7821951_2_cleaned","SRR7821952_1","SRR7821952_1_cleaned","SRR7821952_2","SRR7821952_2_cleaned","SRR7821953_1","SRR7821953_1_cleaned","SRR7821953_2","SRR7821953_2_cleaned","SRR7821968_1","SRR7821968_1_cleaned","SRR7821968_2","SRR7821968_2_cleaned","SRR7821969_1","SRR7821969_1_cleaned","SRR7821969_2","SRR7821969_2_cleaned","SRR7821970_1","SRR7821970_1_cleaned","SRR7821970_2","SRR7821970_2_cleaned"
1,31.550246973283794,31.52960069691589,31.132031673452584,31.151945684169885,31.556987248670573,31.541498606821882,31.06577263448197,31.10408764782971,31.69103645953606,31.660480354300258,31.09887841226417,31.099030983284415,31.647161780147638,31.635924233489863,31.063197636583936,31.11316395018155,31.551515065272525,31.540912183694854,31.073675983522524,31.12116452705352,31.644926682291384,31.607462066228837,31.076009555752087,31.045616267010853,31.47378399579038,31.428031807109612,30.821292423619624,30.798228450922476,31.504246641383638,31.470366290268785,31.13661140294901,31.107402660596463,31.532787261094096,31.46385676008336,31.109246421658487,31.02240512066261,31.533403753471333,31.472187600864892,31.014731275043875,30.9440876322969,31.648000646926157,31.60303415914854,31.093564182761007,31.06028211700269,31.6793851936216,31.64476191622652,31.089030371252804,31.0687341340718,31.554442898917223,31.50278350196444,31.172790132537,31.117933795528053,31.6981491619022,31.45521764923921,31.322572745963598,30.9268926581967,31.503263438367878,31.3385733442562,31.102304513148635,30.78571373817061,31.56492792307772,31.318973044860037,31.362083605584118,30.99626244960711
2,31.60243841874371,31.58878802882382,31.238090981054945,31.276417494005454,31.677900052863446,31.670358612207323,31.161437368774937,31.21888220528755,31.540073696054808,31.51344100708745,31.164912061221813,31.181263166353446,31.544914256647882,31.540667455516004,31.14887302092826,31.219564089774728,31.536640970724633,31.532237086777172,31.165374370311095,31.232068067648786,31.5091948791582,31.4742506106476,31.168044908710502,31.14714462202303,31.51271781488521,31.473181695290435,31.149761603489175,31.134825918206207,31.553078033112833,31.5205668417179,31.188599800585582,31.173332520548858,31.57113122220765,31.507750256610784,31.27378758847446,31.202298999329035,31.65560616128221,31.60778978780051,31.206673282800587,31.150672303543793,31.479997308923075,31.43416099421381,31.23986343330579,31.223330142106985,31.53592713342631,31.50551755648221,31.24453046063294,31.250168754454677,31.523508708109496,31.47784974298219,31.305788945299685,31.26717964278368,31.55801420308239,31.330083286884225,31.318857864187823,30.9129120690293,31.521313464560713,31.376364180382144,31.043175620201342,30.7005965479364,31.598533609339842,31.379921699585143,31.359000257400744,30.9982822607588
3,35.55664181822519,35.513384521050874,34.545821365764965,34.55317351580734,35.45272543840807,35.421661990428305,34.401608452110736,34.43862851670635,35.68810327862133,35.61773945636819,34.389052182418204,34.363165159847156,35.64172627991272,35.624170092090466,34.39042617147961,34.45027932351219,35.351102060421354,35.33375831942511,34.40806914958751,34.46326380212775,35.593796514903076,35.50716730624772,34.026865710151206,33.93154617841687,35.27516133008243,35.166959245227396,33.94041704775366,33.83796020384161,35.30125789634258,35.21702511350853,34.08368139631293,33.99977516997133,35.50137273855526,35.34728131429156,34.389586168972095,34.18632608898506,35.40285350017027,35.266045019223505,34.232538062639435,34.059073167589624,35.62356344204754,35.533729552600235,34.315786199398005,34.218287334369656,35.62972843905161,35.55460514452095,34.35362472288999,34.292238576726334,35.35464912370309,35.24361397102632,34.466565441254644,34.33539161348039,35.705396926303735,35.17442431186019,34.6112769155898,33.81379518431717,35.34371999179829,34.97880760031552,34.18436200705891,33.55264258131549,35.45659006401704,34.926536334758225,34.672690480478245,33.93027115483804
4,36.208285579017534,36.176216217529976,35.48306515451968,35.51751317133534,36.18647888485298,36.164523889119735,35.34585374688633,35.40918540804118,36.23490052853381,36.18528475131384,35.33619722624735,35.33966455859314,36.24051101910567,36.23038885239238,35.33367423970694,35.417776679304474,36.211431316889936,36.20109465252667,35.358305451610505,35.43833307475458,36.27091825845462,36.21069905231027,35.30845768816421,35.237191625871745,36.25626627060944,36.18249458053,35.23866578465276,35.17096870519431,36.22802195490157,36.17006431568473,35.36640592806584,35.30493405184389,36.1892204537539,36.068680043012854,35.48384777453844,35.29576420024084,36.19128447321433,36.085378907046085,35.33693674199192,35.176487027873115,36.2196871811133,36.15604901886579,35.398146469202125,35.313889338633686,36.251139536836185,36.19875546621596,35.42771669542095,35.38152215529937,36.20193145501646,36.11643730791575,35.551830589029365,35.43441771684508,36.2960782383834,35.887572959621785,35.71191571928381,34.971485760398444,36.23673913421854,35.95408009709439,35.331978055752955,34.73901407921492,36.24026473619252,35.83627665219932,35.75054175156334,35.06521390017281
5,36.46440833755567,36.44126664254728,35.79346474687875,35.83322360403289,36.4410291181086,36.42595459732114,35.677298662936735,35.74517637393844,36.47849495457718,36.44244797887701,35.6693784861333,35.68419479453386,36.43797042862413,36.432458413065085,35.664292516341824,35.75357278142982,36.40570677858628,36.39834067897569,35.68204708010451,35.765909701115966,36.4923958448846,36.44729339022222,35.807115117874204,35.74752201773528,36.45568590097164,36.39788896720495,35.69205096435992,35.63795037744611,36.5103900881514,36.467667677503535,35.866361632547985,35.81143077734174,36.44541106127542,36.351213513501506,35.77928916317062,35.62714619927216,36.41317961768883,36.33061396601894,35.65833756588954,35.532712694905726,36.46017694498101,36.41409248848977,35.69529629357538,35.638136031507486,36.41412808271612,36.37160811930669,35.73036785884186,35.707477725340276,36.388885578396064,36.321001668644946,35.84587182490633,35.75791976249989,36.447019092104014,36.096338903413574,36.11890715115636,35.493849911311315,36.411701012393415,36.176613425853496,35.790277162224925,35.29395332798751,36.472357352374075,36.13316469099558,36.149971407774636,35.57477384320358
6,39.93371257383191,39.88185997934807,38.67020723182745,38.6323875966193,39.85499676431164,39.814550906466245,38.49549817392091,38.50240302520815,39.919886922583075,39.84169227999256,38.50091800556704,38.40334217548548,39.91358753854874,39.88999568124667,38.485800401687314,38.52828807289378,39.840465057623554,39.81570353165512,38.506965150754745,38.54631989160005,40.05784296313606,39.98339866671069,39.077856488100466,38.99036341391372,39.95299628554844,39.85658510927354,38.92790995299699,38.841103535302594,40.074610183917514,40.00353288932003,39.161472270374105,39.087460469655916,39.985880263751916,39.84463005834285,39.00265599539308,38.780146712493725,39.91365814771944,39.78808491077076,38.823325336088956,38.62684687684461,39.9743303049416,39.90299350664796,38.91498098744445,38.81714766926602,40.00434414040772,39.94287843624406,38.935228656957904,38.879938519537575,39.91034575354573,39.81242145627883,39.08211890268702,38.94046380684325,40.03386493700428,39.51082292569307,39.457290817387396,38.53682278204347,39.898727121598434,39.54256242792283,38.942869159783086,38.21263124375049,40.06022643093913,39.552863080756204,39.496226203395615,38.65319004815776
7,40.07282412599939,40.03549597620653,39.12418710908459,39.16550755906529,39.99979013911228,39.972045387781655,38.956112838409986,39.0350374186933,40.04051949943667,39.98048520938652,38.95305332360684,38.94987701736988,40.02633907596545,40.011981678037834,38.936952956743426,39.04220794206931,39.97197836176385,39.95627821197394,38.96065764164574,39.059321457304215,40.02941226340531,39.940474449706635,39.11643086657028,39.03442178244436,39.93966804833881,39.82617532121044,38.94047950503386,38.86263182297107,40.15688416697455,40.074850131752214,39.2317529716168,39.16044033667431,40.05265206750307,39.916933645561635,39.20199027703931,38.991691087274326,39.98937710118861,39.87193565202761,39.038629704491846,38.86368413401651,40.02468450368588,39.95380185365524,39.114283533830495,39.03055375741882,40.042171609252435,39.98307718170867,39.1273076380653,39.08883051231463,39.9847110091101,39.888977841901735,39.26179367798023,39.13530656397623,40.07130629865557,39.58190299447588,39.54038829539778,38.6413504340248,39.93086131551711,39.590866461655544,38.99412491944748,38.25843930412836,40.20920453584738,39.7511832184037,39.599210425578654,38.7780823869489
8,40.211198491048286,40.17905259437287,39.16267677471566,39.21160101773608,40.08520748889474,40.06214237983454,39.00830977462291,39.094351675686,40.20169168433694,40.15013772608807,38.999446162860785,39.005490080443465,40.07448531226055,40.062849877462384,38.9864644608616,39.10010040713881,39.999461007681916,39.98600462270675,39.01137832922822,39.1178944954755,40.09636319896891,40.02296303072037,39.12897299728447,39.047290954139974,39.99504996777595,39.89940119473155,38.972725686454304,38.898337794915626,40.21230059013365,40.14640011836623,39.21380899331567,39.13894144031574,40.19508332689924,40.07187107030025,39.25028380269652,39.0451928802172,40.077610759885175,39.96475151994701,39.10072726487494,38.9290222322498,40.18900681122732,40.12568169191695,39.17405498520484,39.095541001684026,40.08595118960104,40.02843189905073,39.19675044930783,39.16404100845542,40.0107652497379,39.91909305359505,39.323576034074996,39.202065523963896,40.11099052931793,39.63401224772569,39.51939126044696,38.6149687830045,39.95657964447365,39.627322601728636,39.02928153095212,38.3062451987825,40.21025480316386,39.765913133351965,39.57366379471552,38.74739404027262
9,40.214535366428464,40.18193598317847,39.246825548192675,39.30240760968822,40.16844140356064,40.14663458619653,39.093490806990765,39.186361496551825,40.19417126428108,40.14199563882798,39.091080798520906,39.106013901887245,40.10363331221956,40.09146090269936,39.073632820506354,39.19261559374092,40.055285295338244,40.04237786834172,39.09954035402892,39.211453477586,40.143597391430035,40.07580386385333,39.231001476801694,39.15877186943578,40.05722809320656,39.96983796686065,39.063095832694124,38.99868715571502,40.243734047269584,40.18123790857808,39.316534357228996,39.25183501980439,40.20542628732802,40.082389946189494,39.28004520613668,39.07273788152802,40.169408898220254,40.06205818758045,39.12961388740306,38.951450817707375,40.18814094691329,40.12459850619066,39.203630594001844,39.121100606122155,40.127895198641966,40.07080248784582,39.226624458387526,39.191788007872155,40.09209611325442,40.004583977844,39.352520807866185,39.22876818381223,40.15141032769303,39.68082707545592,39.575591174734164,38.67468806448033,40.03393346552861,39.71732014747631,39.07623033096367,38.35385756816394,40.23498122451725,39.78676093527619,39.609737691671626,38.777892133769456
10,40.261715424844624,40.23153167682713,39.222777292902904,39.273404214688426,40.21756482166013,40.1975739419385,39.06268196096438,39.150825412502186,40.24090588737833,40.19383091355139,39.06207611694137,39.06900878067904,40.193091316167454,40.18396417724708,39.045115684153394,39.16086147082832,40.16444397258326,40.1537720983349,39.069528114345445,39.17852144383031,40.22484735285619,40.15647526483886,39.27890237010841,39.20650927445769,40.161384976525824,40.0739170327151,39.10742481412128,39.04166393382714,40.27823150792757,40.21472315866731,39.35768922971347,39.293985629372884,40.247270858191705,40.12377790503402,39.1803125386678,38.94911441508293,40.21790292547986,40.110285024601794,39.01450094000987,38.81782346193471,40.2337082773122,40.170836425524364,39.088560256858315,38.99071915932899,40.20452390710618,40.147827854226094,39.13062792606671,39.08412604956108,40.19115421656525,40.10275234001655,39.26741061480203,39.12747358025507,40.2337510681199,39.76767505800858,39.621985425835604,38.688888095415486,40.15948011360983,39.84522973397689,39.133124289460966,38.38838071749369,40.272142278182,39.82920905064036,39.654408467007286,38.793081547998156
